kabupaten_kota;persentase_sanitasi_layak;persentase_pemberian_asi;persentase_bblr;prevalensi_balita_stunting
KABUPATEN BOGOR;56;53,12;1,4;34,96
KABUPATEN SUKABUMI;69;57,15;4,6;21,93
KABUPATEN CIANJUR;62;68,78;2,8;27,52
KABUPATEN BANDUNG;80;63,84;2,7;27,87
KABUPATEN GARUT;0;74,32;2,2;27,03
KABUPATEN TASIKMALAYA;81;66,77;3,8;34,97
KABUPATEN CIAMIS;76;45,96;4,2;24,21
KABUPATEN KUNINGAN;83;74,92;5,9;18,06
KABUPATEN CIREBON;69;71,8;3,3;25,06
KABUPATEN MAJALENGKA;77;76,66;4,1;28,53
KABUPATEN SUMEDANG;95;78,66;3;24,43
KABUPATEN INDRAMAYU;80;57,68;3,1;29,19
KABUPATEN SUBANG;90;48,94;1,9;25,73
KABUPATEN PURWAKARTA;78;56,56;2,4;23,42
KABUPATEN KARAWANG;78;60,49;2,5;24,01
KABUPATEN BEKASI;88;56,95;0,6;20,93
KABUPATEN BANDUNG BARAT;74;72,12;2,4;32,12
KABUPATEN PANGANDARAN;77;90,33;3,2;21,35
KOTA BOGOR;74;54,74;1,2;21,33
KOTA SUKABUMI;152;77,39;5,2;15,6
KOTA BANDUNG;64;68,41;2,2;28,12
KOTA CIREBON;94;109,66;3,6;22,04
KOTA BEKASI;99;33,81;0,6;20,03
KOTA DEPOK;173;66,43;0,9;16,09
KOTA CIMAHI;80;47,73;3,1;34,29
KOTA TASIKMALAYA;52;68,31;3,2;24,75
KOTA BANJAR;47;83,18;4,3;28,97
KABUPATEN BOGOR;74.45;48,58;1,3;28,6
KABUPATEN SUKABUMI;99.72;72,76;4,9;24,2
KABUPATEN CIANJUR;92.89;71,85;2,4;33,7
KABUPATEN BANDUNG;90.3;66,16;2,3;31,1
KABUPATEN GARUT;96.65;74,01;3;35,2
KABUPATEN TASIKMALAYA;79.26;51,04;4,2;24,4
KABUPATEN CIAMIS;85.51;80,39;4;16
KABUPATEN KUNINGAN;90.11;76,29;5,5;18,7
KABUPATEN CIREBON;91.32;70,86;3,6;26,5
KABUPATEN MAJALENGKA;88.84;80,32;3,8;23
KABUPATEN SUMEDANG;95.84;81,26;2,5;22
KABUPATEN INDRAMAYU;82.06;55,46;3,4;14,4
KABUPATEN SUBANG;100;52,57;1,4;18,1
KABUPATEN PURWAKARTA;94.45;63,19;2,3;20,6
KABUPATEN KARAWANG;43.9;68,15;2,8;20,6
KABUPATEN BEKASI;91.33;72,62;0,5;21,5
KABUPATEN BANDUNG BARAT;100;75,17;1,8;29,6
KABUPATEN PANGANDARAN;88.34;100;5,4;22,7
KOTA BOGOR;76.33;42,52;1,7;16,9
KOTA SUKABUMI;83.2;67,5;3,8;19,1
KOTA BANDUNG;78.49;72,64;1,6;26,4
KOTA CIREBON;97.49;71,81;4,9;30,6
KOTA BEKASI;99.3;50,29;1,9;13,8
KOTA DEPOK;90.29;73,61;0,7;12,3
KOTA CIMAHI;80.91;77,05;2,4;19,9
KOTA TASIKMALAYA;57.86;70,38;3,4;28,9
KOTA BANJAR;97.97;74,29;21;23,9
KABUPATEN BOGOR;68.6;68,15;1,76;24,9
KABUPATEN SUKABUMI;100;74,67;4,5;27,5
KABUPATEN CIANJUR;92.89;77,35;3,11;13,6
KABUPATEN BANDUNG;100;64,22;2,7;25
KABUPATEN GARUT;93.47;75,71;3,68;23,6
KABUPATEN TASIKMALAYA;89.74;60,69;4,32;27,2
KABUPATEN CIAMIS;83.77;56,12;4,79;18,6
KABUPATEN KUNINGAN;95.33;78,42;6,14;19,4
KABUPATEN CIREBON;91.26;70,69;2,62;18,6
KABUPATEN MAJALENGKA;97.26;80,16;4,25;24,3
KABUPATEN SUMEDANG;98.47;80,97;3,18;27,6
KABUPATEN INDRAMAYU;91.84;59,88;3,27;21,1
KABUPATEN SUBANG;97.49;56,99;2,26;15,7
KABUPATEN PURWAKARTA;86.69;66,01;2,43;21,8
KABUPATEN KARAWANG;55.29;51,7;2,93;14
KABUPATEN BEKASI;92.59;71,25;0,75;17,8
KABUPATEN BANDUNG BARAT;91.09;72,11;3,1;27,3
KABUPATEN PANGANDARAN;82.73;85,65;5,33;20
KOTA BOGOR;62.37;76,31;1,77;18,7
KOTA SUKABUMI;95.48;73,91;4,28;19,2
KOTA BANDUNG;100;75,49;2,43;19,4
KOTA CIREBON;86.66;67,95;5,58;17
KOTA BEKASI;93.03;53,06;0,33;6
KOTA DEPOK;99.26;74;0,64;12,6
KOTA CIMAHI;83.05;78,13;2,42;16,4
KOTA TASIKMALAYA;63.84;67,62;3,9;22,4
KOTA BANJAR;98.98;86,27;4,42;19,3
KABUPATEN BOGOR;68.41;63,76;2,06;27,6
KABUPATEN SUKABUMI;100;63,58;5,18;27
KABUPATEN CIANJUR;68.71;81,65;0;11,4
KABUPATEN BANDUNG;99.74;63,61;4,39;29,2
KABUPATEN GARUT;88.94;93,61;4;24,1
KABUPATEN TASIKMALAYA;64.47;69,5;0;20,7
KABUPATEN CIAMIS;92.94;58,37;0;25,4
KABUPATEN KUNINGAN;94.62;73,86;6,89;23,4
KABUPATEN CIREBON;95.59;65,57;3,36;22,9
KABUPATEN MAJALENGKA;98.72;79,15;5,1;24,1
KABUPATEN SUMEDANG;98.62;81,27;3,86;14,4
