nama_kabupaten_kota,jumlah_imunisasi,jumlah_bblr,jumlah_balita_stunting,jumlah_sanitasi
KABUPATEN BOGOR,113376,1633,18752,1585980
KABUPATEN SUKABUMI,42663,2033,15583,827181
KABUPATEN CIANJUR,37461,1143,12761,454588
KABUPATEN BANDUNG,68953,1976,19121,1124046
KABUPATEN GARUT,29577,1107,9723,493892
KABUPATEN TASIKMALAYA,30810,1161,17254,441781
KABUPATEN CIAMIS,18379,797,4254,376588
KABUPATEN KUNINGAN,19381,1146,5553,288015
KABUPATEN CIREBON,48457,1608,14127,505980
KABUPATEN MAJALENGKA,20287,833,4642,302197
KABUPATEN SUMEDANG,18983,555,6780,375325
KABUPATEN INDRAMAYU,35587,1081,19458,490032
KABUPATEN SUBANG,31825,604,2476,406331
KABUPATEN PURWAKARTA,18091,454,3451,219237
KABUPATEN KARAWANG,44190,1105,4940,587042
KABUPATEN BEKASI,76605,443,7436,797464
KABUPATEN BANDUNG BARAT,29577,723,9322,492325
KABUPATEN PANGANDARAN,5917,192,7863,104045
KOTA BOGOR,19445,243,3757,181962
KOTA SUKABUMI,19445,297,2069,167463
KOTA BANDUNG,5801,925,8121,364120
KOTA CIREBON,41884,196,2411,299223
KOTA BEKASI,5240,273,11737,621781
KOTA DEPOK,50656,385,5241,831130
KOTA CIMAHI,43681,333,3269,120823
KOTA TASIKMALAYA,10624,369,5373,108868
KOTA BANJAR,11217,129,962,119320
KABUPATEN BOGOR,3037,1383,30844,1120139
KABUPATEN SUKABUMI,94094,2015,14347,2479197
KABUPATEN CIANJUR,26756,1085,7768,656822
KABUPATEN BANDUNG,3719,1974,20461,1066372
KABUPATEN GARUT,56421,1786,10027,757117
KABUPATEN TASIKMALAYA,38324,1266,15183,520718
KABUPATEN CIAMIS,27435,794,3303,351924
KABUPATEN KUNINGAN,17182,1046,3665,325086
KABUPATEN CIREBON,17523,1110,15220,602278
KABUPATEN MAJALENGKA,60849,745,2934,371357
KABUPATEN SUMEDANG,17814,455,8117,436162
KABUPATEN INDRAMAYU,16783,948,5208,512731
KABUPATEN SUBANG,25711,491,2088,561206
KABUPATEN PURWAKARTA,27230,371,3709,247805
KABUPATEN KARAWANG,17386,862,3715,307779
KABUPATEN BEKASI,33271,328,8755,927285
KABUPATEN BANDUNG BARAT,51564,548,12488,492325
KABUPATEN PANGANDARAN,22406,291,999,137835
KOTA BOGOR,4995,314,3950,138463
KOTA SUKABUMI,16289,179,1180,82582
KOTA BANDUNG,5363,546,6312,442332
KOTA CIREBON,36467,248,2411,92255
KOTA BEKASI,3728,851,9820,770472
KOTA DEPOK,44482,446,3726,522512
KOTA CIMAHI,39584,248,3161,130473
KOTA TASIKMALAYA,9599,395,6194,121364
KOTA BANJAR,10570,1927,929,60590
KABUPATEN BOGOR,2670,1965,18666,1099285
KABUPATEN SUKABUMI,108227,1220,10231,866516
KABUPATEN CIANJUR,40195,1639,6871,775029
KABUPATEN BANDUNG,39157,1709,21018,1074640
KABUPATEN GARUT,62035,1172,30266,759546
KABUPATEN TASIKMALAYA,45154,830,14122,511526
KABUPATEN CIAMIS,29293,1019,1872,361159
